Category,City,Country,Discount,Number of Records,Postal Code,Profit,Quantity,Sales,Segment,Ship Mode,State,Sub-Category
Furniture,Fort Lauderdale,United States,0.45,1,33311,-383.031,5,957.5775,Consumer,Standard Class,Florida,Tables
Office Supplies,Fort Worth,United States,0.8,1,76106,-123.858,5,68.81,Home Office,Standard Class,Texas,Appliances
Office Supplies,Fort Worth,United States,0.8,1,76106,-3.816,3,2.544,Home Office,Standard Class,Texas,Binders
Furniture,Philadelphia,United States,0.3,1,19140,-1.0196,2,71.372,Consumer,Second Class,Pennsylvania,Chairs
Furniture,Philadelphia,United States,0.5,1,19140,-1665.0522,7,3083.43,Consumer,Standard Class,Pennsylvania,Bookcases
Office Supplies,Philadelphia,United States,0.7,1,19140,-7.0532,2,9.618,Consumer,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,0.7,1,19140,-5.715,6,6.858,Consumer,Standard Class,Pennsylvania,Binders
Furniture,Richardson,United States,0.6,1,75080,-147.963,5,190.92,Corporate,First Class,Texas,Furnishings
Furniture,Houston,United States,0.32,1,77041,-46.9764,3,532.3992,Home Office,Standard Class,Texas,Bookcases
Furniture,Houston,United States,0.3,1,77041,-15.147,3,212.058,Home Office,Standard Class,Texas,Chairs
Furniture,Chicago,United States,0.3,1,60610,-15.2225,5,213.115,Home Office,Standard Class,Illinois,Chairs
Furniture,Memphis,United States,0.2,1,38109,-114.3912,8,831.936,Consumer,Standard Class,Tennessee,Chairs
Office Supplies,Memphis,United States,0.2,1,38109,-18.196,1,72.784,Consumer,Standard Class,Tennessee,Storage
Office Supplies,Houston,United States,0.8,1,77041,-1.9344,3,1.248,Corporate,First Class,Texas,Binders
Furniture,Houston,United States,0.6,1,77041,-5.8248,3,9.708,Corporate,First Class,Texas,Furnishings
Furniture,Houston,United States,0.6,1,77070,-14.475,5,19.3,Consumer,Second Class,Texas,Furnishings
Office Supplies,Chicago,United States,0.2,1,60623,-48.9549,3,230.376,Home Office,First Class,Illinois,Storage
Office Supplies,Portland,United States,0.7,1,97206,-3.788,1,5.682,Home Office,Standard Class,Oregon,Binders
Technology,Chicago,United States,0.2,1,60610,-10.7973,3,95.976,Home Office,Standard Class,Illinois,Accessories
Office Supplies,Chicago,United States,0.8,1,60610,-3.0396,3,1.788,Home Office,Standard Class,Illinois,Binders
Technology,Aurora,United States,0.2,1,80013,-26.8758,6,238.896,Consumer,Standard Class,Colorado,Accessories
Furniture,Aurora,United States,0.2,1,80013,-3.8385,3,102.36,Consumer,Standard Class,Colorado,Furnishings
Office Supplies,Aurora,United States,0.7,1,80013,-25.8174,3,36.882,Consumer,Standard Class,Colorado,Binders
Office Supplies,Bristol,United States,0.7,1,37620,-115.7156,1,157.794,Corporate,Standard Class,Tennessee,Binders
Furniture,Houston,United States,0.3,1,77041,-8.5794,3,600.558,Home Office,Second Class,Texas,Chairs
Furniture,Bloomington,United States,0.5,1,61701,-407.682,6,617.7,Consumer,Standard Class,Illinois,Tables
Office Supplies,Phoenix,United States,0.7,1,85023,-1.8308,2,2.388,Consumer,Standard Class,Arizona,Binders
Furniture,Los Angeles,United States,0.2,1,90004,-9.1602,2,81.424,Home Office,Second Class,California,Chairs
Technology,Columbus,United States,0.4,1,43229,-11.994,5,59.97,Corporate,First Class,Ohio,Phones
Technology,San Antonio,United States,0.4,1,78207,-1359.992,8,8159.952,Consumer,Standard Class,Texas,Machines
Office Supplies,San Antonio,United States,0.2,1,78207,-58.6347,3,275.928,Consumer,Standard Class,Texas,Storage
Furniture,San Antonio,United States,0.3,1,78207,-24.858,9,1740.06,Consumer,Standard Class,Texas,Chairs
Office Supplies,San Antonio,United States,0.8,1,78207,-453.849,5,177.98,Consumer,Standard Class,Texas,Appliances
Office Supplies,Chicago,United States,0.8,1,60623,-131.12,2,52.448,Corporate,Standard Class,Illinois,Appliances
Office Supplies,Houston,United States,0.8,1,77036,-243.16,4,97.264,Consumer,Second Class,Texas,Appliances
Furniture,Newark,United States,0.3,1,43055,-11.3372,7,396.802,Consumer,Second Class,Ohio,Chairs
Office Supplies,Newark,United States,0.2,1,43055,-3.7715,5,15.88,Consumer,Second Class,Ohio,Supplies
Office Supplies,Philadelphia,United States,0.7,1,19120,-2.2586,2,2.946,Corporate,Standard Class,Pennsylvania,Binders
Furniture,Denver,United States,0.5,1,80219,-161.875,2,218.75,Consumer,First Class,Colorado,Tables
Office Supplies,Dallas,United States,0.8,1,75220,-178.9668,2,66.284,Consumer,Second Class,Texas,Appliances
Furniture,Medina,United States,0.5,1,44256,-244.323,5,452.45,Corporate,Standard Class,Ohio,Bookcases
Technology,Medina,United States,0.4,1,44256,-14.6958,3,62.982,Corporate,Standard Class,Ohio,Phones
Technology,Medina,United States,0.7,1,44256,-950.4,9,1188,Corporate,Standard Class,Ohio,Machines
Office Supplies,Dublin,United States,0.7,1,43017,-13.8432,4,19.776,Consumer,First Class,Ohio,Binders
Technology,Dublin,United States,0.7,1,43017,-383.9904,4,479.988,Consumer,First Class,Ohio,Machines
Furniture,Columbia,United States,0.2,1,38401,-28.2744,2,161.568,Consumer,Standard Class,Tennessee,Chairs
Office Supplies,Charlotte,United States,0.7,1,28205,-12.432,7,18.648,Corporate,Standard Class,North Carolina,Binders
Furniture,Tampa,United States,0.45,1,33614,-102.048,2,233.86,Home Office,Standard Class,Florida,Tables
Furniture,Tampa,United States,0.45,1,33614,-248.2458,3,620.6145,Home Office,Standard Class,Florida,Tables
Office Supplies,Tampa,United States,0.7,1,33614,-3.552,2,5.328,Home Office,Standard Class,Florida,Binders
Furniture,Tampa,United States,0.2,1,33614,0,3,258.072,Home Office,Standard Class,Florida,Furnishings
Technology,Tampa,United States,0.2,1,33614,-7.7247,3,617.976,Home Office,Standard Class,Florida,Accessories
