,Ship Mode,Segment,Category,Sub-Category,State,City,New Price,Quantity,Discount,New Discount Price,NEW PROFIT,New Profit per quantity
0,Standard Class,Consumer,Furniture,Tables,Florida,Fort Lauderdale,1940.6085,5,0.05,97.03042500000001,502.96957499999996,100.593915
1,Standard Class,Home Office,Office Supplies,Appliances,Texas,Fort Worth,792.668,5,0.05,39.6334,560.3666,112.07332
2,Standard Class,Home Office,Office Supplies,Binders,Texas,Fort Worth,186.36,3,0.05,9.318000000000001,170.682,56.894
3,Second Class,Consumer,Furniture,Chairs,Pennsylvania,Philadelphia,252.39159999999998,2,0.05,12.61958,167.38042000000002,83.69021000000001
4,Standard Class,Consumer,Furniture,Bookcases,Pennsylvania,Philadelphia,5748.4822,7,0.05,287.42411000000004,712.57589,101.7965557142857
5,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,196.6712,2,0.05,9.83356,170.16644,85.08322
6,Standard Class,Consumer,Office Supplies,Binders,Pennsylvania,Philadelphia,192.573,6,0.05,9.62865,170.37135,28.395225
7,First Class,Corporate,Furniture,Furnishings,Texas,Richardson,938.883,5,0.05,46.94415000000001,553.05585,110.61116999999999
8,Standard Class,Home Office,Furniture,Bookcases,Texas,Houston,759.3756,3,0.05,37.96878,142.03122,47.34374
9,Standard Class,Home Office,Furniture,Chairs,Texas,Houston,407.205,3,0.05,20.36025,159.63975,53.213249999999995
10,Standard Class,Home Office,Furniture,Chairs,Illinois,Chicago,408.3375,5,0.05,20.416875,159.58312499999997,31.916624999999993
11,Standard Class,Consumer,Furniture,Chairs,Tennessee,Memphis,1546.3272000000002,8,0.05,77.31636000000002,522.6836400000001,65.33545500000001
12,Standard Class,Consumer,Office Supplies,Storage,Tennessee,Memphis,270.98,1,0.05,13.549000000000001,166.45100000000002,166.45100000000002
13,First Class,Corporate,Office Supplies,Binders,Texas,Houston,183.1824,3,0.05,9.15912,170.84088,56.94696
14,First Class,Corporate,Furniture,Furnishings,Texas,Houston,195.5328,3,0.05,9.77664,170.22336,56.74112
15,Second Class,Consumer,Furniture,Furnishings,Texas,Houston,213.775,5,0.05,10.68875,169.31125,33.86225
16,First Class,Home Office,Office Supplies,Storage,Illinois,Chicago,459.3309,3,0.05,22.966545,157.033455,52.344485
17,Standard Class,Home Office,Office Supplies,Binders,Oregon,Portland,189.47,1,0.05,9.4735,170.5265,170.5265
18,Standard Class,Home Office,Technology,Accessories,Illinois,Chicago,286.7733,3,0.05,14.338665,165.661335,55.220445000000005
19,Standard Class,Home Office,Office Supplies,Binders,Illinois,Chicago,184.8276,3,0.05,9.24138,170.75862,56.919540000000005
20,Standard Class,Consumer,Technology,Accessories,Colorado,Aurora,445.7718,6,0.05,22.28859,157.71141,26.285235
21,Standard Class,Consumer,Furniture,Furnishings,Colorado,Aurora,286.19849999999997,3,0.05,14.309925,165.69007499999998,55.23002499999999
22,Standard Class,Consumer,Office Supplies,Binders,Colorado,Aurora,242.6994,3,0.05,12.134970000000001,167.86503,55.955009999999994
23,Standard Class,Corporate,Office Supplies,Binders,Tennessee,Bristol,873.5096,1,0.05,43.67548,556.32452,556.32452
24,Second Class,Home Office,Furniture,Chairs,Texas,Houston,789.1374,3,0.05,39.45687,140.54313,46.84771
25,Standard Class,Consumer,Furniture,Tables,Illinois,Bloomington,1625.382,6,0.05,81.26910000000001,518.7309,86.45515
26,Standard Class,Consumer,Office Supplies,Binders,Arizona,Phoenix,184.2188,2,0.05,9.210939999999999,170.78906,85.39453
27,Second Class,Home Office,Furniture,Chairs,California,Los Angeles,270.5842,2,0.05,13.52921,166.47079,83.235395
28,First Class,Corporate,Technology,Phones,Ohio,Columbus,251.964,5,0.05,12.5982,167.4018,33.480360000000005
